component_fun,setting,model,video,acc
KernelPCA,sigmoid,MiniBatchKMeans,170108,1.0
KernelPCA,sigmoid,MiniBatchKMeans,170110,0.873015873015873
KernelPCA,sigmoid,SpectralClustering,16090101,0.7352941176470589
KernelPCA,sigmoid,SpectralClustering,16090401,0.8266666666666667
KernelPCA,sigmoid,SpectralClustering,16090601,1.0
KernelPCA,sigmoid,SpectralClustering,16091201,0.9166666666666666
KernelPCA,sigmoid,SpectralClustering,16091301,0.75
KernelPCA,sigmoid,SpectralClustering,16092001,0.9682539682539684
KernelPCA,sigmoid,SpectralClustering,16092201,0.5
KernelPCA,sigmoid,SpectralClustering,16092301,1.0
KernelPCA,sigmoid,SpectralClustering,16092501,0.8918918918918919
KernelPCA,sigmoid,SpectralClustering,16092701,0.5555555555555556
KernelPCA,sigmoid,SpectralClustering,16092801,1.0
KernelPCA,sigmoid,SpectralClustering,16093001,0.9032258064516128
KernelPCA,sigmoid,SpectralClustering,16093201,0.8292682926829268
KernelPCA,sigmoid,SpectralClustering,16093301,0.945945945945946
KernelPCA,sigmoid,SpectralClustering,16093501,0.9090909090909092
KernelPCA,sigmoid,SpectralClustering,16093601,0.6799999999999999
KernelPCA,sigmoid,SpectralClustering,16093801,0.704225352112676
KernelPCA,sigmoid,SpectralClustering,170101,0.7560975609756098
KernelPCA,sigmoid,SpectralClustering,170103,0.7142857142857143
KernelPCA,sigmoid,SpectralClustering,170104,0.7619047619047619
KernelPCA,sigmoid,SpectralClustering,170108,1.0
KernelPCA,sigmoid,SpectralClustering,170110,0.873015873015873
FactorAnalysis,default,AgglomerativeClustering,16090101,0.9705882352941176
FactorAnalysis,default,AgglomerativeClustering,16090401,1.0
FactorAnalysis,default,AgglomerativeClustering,16090601,0.9302325581395348
FactorAnalysis,default,AgglomerativeClustering,16091201,0.9444444444444444
FactorAnalysis,default,AgglomerativeClustering,16091301,0.7272727272727273
FactorAnalysis,default,AgglomerativeClustering,16092001,0.8412698412698413
FactorAnalysis,default,AgglomerativeClustering,16092201,0.9310344827586208
FactorAnalysis,default,AgglomerativeClustering,16092301,0.8305084745762712
FactorAnalysis,default,AgglomerativeClustering,16092501,0.7972972972972973
FactorAnalysis,default,AgglomerativeClustering,16092701,0.9722222222222222
FactorAnalysis,default,AgglomerativeClustering,16092801,0.98
FactorAnalysis,default,AgglomerativeClustering,16093001,0.7419354838709677
FactorAnalysis,default,AgglomerativeClustering,16093201,0.6829268292682927
FactorAnalysis,default,AgglomerativeClustering,16093301,0.6756756756756757
FactorAnalysis,default,AgglomerativeClustering,16093501,0.9636363636363636
FactorAnalysis,default,AgglomerativeClustering,16093601,0.72
FactorAnalysis,default,AgglomerativeClustering,16093801,0.7183098591549296
FactorAnalysis,default,AgglomerativeClustering,170101,0.5121951219512195
FactorAnalysis,default,AgglomerativeClustering,170103,0.9642857142857144
FactorAnalysis,default,AgglomerativeClustering,170104,0.9682539682539684
FactorAnalysis,default,AgglomerativeClustering,170108,0.5238095238095238
FactorAnalysis,default,AgglomerativeClustering,170110,0.8571428571428572
FactorAnalysis,default,Birch,16090101,0.9705882352941176
FactorAnalysis,default,Birch,16090401,0.6133333333333333
FactorAnalysis,default,Birch,16090601,0.813953488372093
FactorAnalysis,default,Birch,16091201,0.9444444444444444
FactorAnalysis,default,Birch,16091301,0.7272727272727273
FactorAnalysis,default,Birch,16092001,0.8253968253968254
FactorAnalysis,default,Birch,16092201,0.9310344827586208
FactorAnalysis,default,Birch,16092301,0.8305084745762712
FactorAnalysis,default,Birch,16092501,0.7972972972972973
FactorAnalysis,default,Birch,16092701,0.9722222222222222
FactorAnalysis,default,Birch,16092801,0.98
FactorAnalysis,default,Birch,16093001,0.6290322580645161
FactorAnalysis,default,Birch,16093201,0.6829268292682927
FactorAnalysis,default,Birch,16093301,0.6756756756756757
FactorAnalysis,default,Birch,16093501,0.5818181818181818
FactorAnalysis,default,Birch,16093601,0.72
FactorAnalysis,default,Birch,16093801,0.9014084507042254
FactorAnalysis,default,Birch,170101,0.5121951219512195
FactorAnalysis,default,Birch,170103,0.9642857142857144
FactorAnalysis,default,Birch,170104,0.8571428571428572
FactorAnalysis,default,Birch,170108,0.5238095238095238
FactorAnalysis,default,Birch,170110,0.6190476190476191
FactorAnalysis,default,KMeans,16090101,0.6764705882352942
FactorAnalysis,default,KMeans,16090401,0.76
FactorAnalysis,default,KMeans,16090601,0.6976744186046512
FactorAnalysis,default,KMeans,16091201,0.8611111111111112
FactorAnalysis,default,KMeans,16091301,0.6136363636363636
FactorAnalysis,default,KMeans,16092001,0.7936507936507937
FactorAnalysis,default,KMeans,16092201,0.8620689655172413
FactorAnalysis,default,KMeans,16092301,0.8305084745762712
FactorAnalysis,default,KMeans,16092501,0.6081081081081081
FactorAnalysis,default,KMeans,16092701,0.8333333333333334
FactorAnalysis,default,KMeans,16092801,0.74
FactorAnalysis,default,KMeans,16093001,0.6935483870967742
FactorAnalysis,default,KMeans,16093201,0.6829268292682927
FactorAnalysis,default,KMeans,16093301,0.5675675675675675
FactorAnalysis,default,KMeans,16093501,0.6
FactorAnalysis,default,KMeans,16093601,0.6799999999999999
FactorAnalysis,default,KMeans,16093801,0.5492957746478874
FactorAnalysis,default,KMeans,170101,0.5121951219512195
FactorAnalysis,default,KMeans,170103,0.6071428571428571
FactorAnalysis,default,KMeans,170104,0.9047619047619048
FactorAnalysis,default,KMeans,170108,0.6190476190476191
FactorAnalysis,default,KMeans,170110,0.8253968253968254
FactorAnalysis,default,MiniBatchKMeans,16090101,0.7352941176470589
FactorAnalysis,default,MiniBatchKMeans,16090401,0.56
FactorAnalysis,default,MiniBatchKMeans,16090601,0.5813953488372092
FactorAnalysis,default,MiniBatchKMeans,16091201,0.6388888888888888
FactorAnalysis,default,MiniBatchKMeans,16091301,0.8181818181818181
FactorAnalysis,default,MiniBatchKMeans,16092001,0.5555555555555556
FactorAnalysis,default,MiniBatchKMeans,16092201,0.7413793103448276
FactorAnalysis,default,MiniBatchKMeans,16092301,0.5423728813559322
FactorAnalysis,default,MiniBatchKMeans,16092501,0.5945945945945946
FactorAnalysis,default,MiniBatchKMeans,16092701,0.7222222222222222
FactorAnalysis,default,MiniBatchKMeans,16092801,0.62
FactorAnalysis,default,MiniBatchKMeans,16093001,0.6612903225806451
FactorAnalysis,default,MiniBatchKMeans,16093201,0.6829268292682927
FactorAnalysis,default,MiniBatchKMeans,16093301,0.5405405405405406
FactorAnalysis,default,MiniBatchKMeans,16093501,0.5818181818181818
FactorAnalysis,default,MiniBatchKMeans,16093601,0.72
FactorAnalysis,default,MiniBatchKMeans,16093801,0.5774647887323944
FactorAnalysis,default,MiniBatchKMeans,170101,0.5121951219512195
FactorAnalysis,default,MiniBatchKMeans,170103,0.7857142857142857
FactorAnalysis,default,MiniBatchKMeans,170104,0.5079365079365079
FactorAnalysis,default,MiniBatchKMeans,170108,0.5714285714285714
FactorAnalysis,default,MiniBatchKMeans,170110,0.6825396825396826
FactorAnalysis,default,SpectralClustering,16090101,0.9705882352941176
FactorAnalysis,default,SpectralClustering,16090401,1.0
FactorAnalysis,default,SpectralClustering,16090601,0.5813953488372092
FactorAnalysis,default,SpectralClustering,16091201,0.6111111111111112
FactorAnalysis,default,SpectralClustering,16091301,0.75
FactorAnalysis,default,SpectralClustering,16092001,0.8253968253968254
FactorAnalysis,default,SpectralClustering,16092201,0.7586206896551724
FactorAnalysis,default,SpectralClustering,16092301,0.8305084745762712
FactorAnalysis,default,SpectralClustering,16092501,0.8783783783783784
FactorAnalysis,default,SpectralClustering,16092701,0.9166666666666666
FactorAnalysis,default,SpectralClustering,16092801,0.6799999999999999
FactorAnalysis,default,SpectralClustering,16093001,0.6451612903225806
FactorAnalysis,default,SpectralClustering,16093201,0.7317073170731707
FactorAnalysis,default,SpectralClustering,16093301,0.6756756756756757
FactorAnalysis,default,SpectralClustering,16093501,0.6
FactorAnalysis,default,SpectralClustering,16093601,1.0
FactorAnalysis,default,SpectralClustering,16093801,0.8732394366197183
FactorAnalysis,default,SpectralClustering,170101,0.5121951219512195
FactorAnalysis,default,SpectralClustering,170103,0.8928571428571429
FactorAnalysis,default,SpectralClustering,170104,1.0
FactorAnalysis,default,SpectralClustering,170108,0.8095238095238095
FactorAnalysis,default,SpectralClustering,170110,0.5238095238095238
FastICA,default,AgglomerativeClustering,16090101,0.9117647058823528
FastICA,default,AgglomerativeClustering,16090401,0.9733333333333334
FastICA,default,AgglomerativeClustering,16090601,0.9767441860465116
FastICA,default,AgglomerativeClustering,16091201,0.9444444444444444
FastICA,default,AgglomerativeClustering,16091301,0.75
FastICA,default,AgglomerativeClustering,16092001,0.8253968253968254
FastICA,default,AgglomerativeClustering,16092201,0.8103448275862069
FastICA,default,AgglomerativeClustering,16092301,0.9830508474576272
FastICA,default,AgglomerativeClustering,16092501,0.7162162162162162
FastICA,default,AgglomerativeClustering,16092701,0.9444444444444444
FastICA,default,AgglomerativeClustering,16092801,1.0
FastICA,default,AgglomerativeClustering,16093001,0.7258064516129032
FastICA,default,AgglomerativeClustering,16093201,0.6829268292682927
FastICA,default,AgglomerativeClustering,16093301,0.6756756756756757
FastICA,default,AgglomerativeClustering,16093501,0.5818181818181818
FastICA,default,AgglomerativeClustering,16093601,0.72
FastICA,default,AgglomerativeClustering,16093801,0.676056338028169
FastICA,default,AgglomerativeClustering,170101,0.5609756097560976
FastICA,default,AgglomerativeClustering,170103,0.7142857142857143
FastICA,default,AgglomerativeClustering,170104,1.0
FastICA,default,AgglomerativeClustering,170108,0.5238095238095238
FastICA,default,AgglomerativeClustering,170110,0.8095238095238095
FastICA,default,Birch,16090101,0.7058823529411765
FastICA,default,Birch,16090401,0.6266666666666667
FastICA,default,Birch,16090601,0.5581395348837209
FastICA,default,Birch,16091201,0.6944444444444444
FastICA,default,Birch,16091301,0.7727272727272727
FastICA,default,Birch,16092001,0.6507936507936508
FastICA,default,Birch,16092201,0.7241379310344828
FastICA,default,Birch,16092301,0.7796610169491526
FastICA,default,Birch,16092501,0.6891891891891891
FastICA,default,Birch,16092701,0.8333333333333334
FastICA,default,Birch,16092801,0.62
FastICA,default,Birch,16093001,0.6129032258064516
FastICA,default,Birch,16093201,0.6829268292682927
FastICA,default,Birch,16093301,0.6486486486486487
FastICA,default,Birch,16093501,0.6363636363636364
