col,img,decomposition.1,decomposition.2,cluster,acc,time
NIR_255,170101,KernelPCA_cosine,FastICA,MiniBatchKMeans,0.7073170731707317,987.835168838501
NIR_255,170101,KernelPCA_cosine,FastICA,KMeans,0.7560975609756098,329.8628330230713
NIR_255,170101,KernelPCA_cosine,FastICA,SpectralClustering,0.7560975609756098,339.07198905944824
NIR_255,170101,KernelPCA_cosine,FastICA,Birch,0.5365853658536586,229.64978218078613
NIR_255,170101,KernelPCA_cosine,FastICA,AgglomerativeClustering,0.7804878048780488,210.211992263794
NIR_255,170101,KernelPCA_cosine,IncrementalPCA,MiniBatchKMeans,0.7560975609756098,464.7572040557861
NIR_255,170101,KernelPCA_cosine,IncrementalPCA,KMeans,0.7560975609756098,130.720853805542
NIR_255,170101,KernelPCA_cosine,IncrementalPCA,SpectralClustering,0.7560975609756098,125.8993148803711
NIR_255,170101,KernelPCA_cosine,IncrementalPCA,Birch,0.5365853658536586,37.712812423706055
NIR_255,170101,KernelPCA_cosine,IncrementalPCA,AgglomerativeClustering,0.7804878048780488,19.584178924560547
NIR_255,170101,KernelPCA_cosine,PCA,MiniBatchKMeans,0.7073170731707317,643.7063217163086
NIR_255,170101,KernelPCA_cosine,PCA,KMeans,0.7560975609756098,135.96177101135254
NIR_255,170101,KernelPCA_cosine,PCA,SpectralClustering,0.7560975609756098,137.96186447143555
NIR_255,170101,KernelPCA_cosine,PCA,Birch,0.5365853658536586,19.650936126708984
NIR_255,170101,KernelPCA_cosine,PCA,AgglomerativeClustering,0.7804878048780488,4.225730895996094
NIR_255,170101,KernelPCA_cosine,TruncatedSVD,MiniBatchKMeans,0.6829268292682926,424.9029159545898
NIR_255,170101,KernelPCA_cosine,TruncatedSVD,KMeans,0.6829268292682927,180.02891540527344
NIR_255,170101,KernelPCA_cosine,TruncatedSVD,SpectralClustering,0.7560975609756098,175.93646049499512
NIR_255,170101,KernelPCA_cosine,TruncatedSVD,Birch,0.5365853658536586,28.202056884765625
NIR_255,170101,KernelPCA_cosine,TruncatedSVD,AgglomerativeClustering,0.7560975609756098,12.143373489379885
NIR_255,170101,FactorAnalysis,KernelPCA_sigmoid,MiniBatchKMeans,0.6097560975609756,3970.4432487487793
