col,component_fun,setting,model,video,acc,time
NIR_diff,FactorAnalysis,default,KMeans,170108,0.7619047619047619,108.75113582611084
NIR_diff,FactorAnalysis,default,KMeans,170110,0.8095238095238095,107.90620517730711
NIR_diff,FactorAnalysis,default,MiniBatchKMeans,16090101,0.7352941176470589,41.77097058296204
NIR_diff,FactorAnalysis,default,MiniBatchKMeans,16090401,0.5333333333333333,8.314318656921387
NIR_diff,FactorAnalysis,default,MiniBatchKMeans,16090601,0.5581395348837209,6.00874662399292
NIR_diff,FactorAnalysis,default,MiniBatchKMeans,16091201,0.7222222222222222,7.508562803268433
NIR_diff,FactorAnalysis,default,MiniBatchKMeans,16091301,0.6590909090909092,6.887306451797485
NIR_diff,FactorAnalysis,default,MiniBatchKMeans,16091401,0.7142857142857143,7.842996120452881
NIR_diff,FactorAnalysis,default,MiniBatchKMeans,16092001,0.6666666666666666,5.7345802783966064
NIR_diff,FactorAnalysis,default,MiniBatchKMeans,16092101,0.8095238095238095,8.616379976272583
NIR_diff,FactorAnalysis,default,MiniBatchKMeans,16092201,0.6551724137931034,8.616920232772827
NIR_diff,FactorAnalysis,default,MiniBatchKMeans,16092301,0.6779661016949152,5.922207355499268
NIR_diff,FactorAnalysis,default,MiniBatchKMeans,16092501,0.7162162162162162,5.941941976547241
NIR_diff,FactorAnalysis,default,MiniBatchKMeans,16092701,0.6666666666666666,7.298974514007568
NIR_diff,FactorAnalysis,default,MiniBatchKMeans,16092801,0.62,8.127170085906982
NIR_diff,FactorAnalysis,default,MiniBatchKMeans,16093001,0.5483870967741935,7.258301734924316
NIR_diff,FactorAnalysis,default,MiniBatchKMeans,16093201,0.6341463414634146,6.702893495559692
NIR_diff,FactorAnalysis,default,MiniBatchKMeans,16093301,0.6756756756756757,10.570489645004272
NIR_diff,FactorAnalysis,default,MiniBatchKMeans,16093501,0.5818181818181818,7.886040449142456
NIR_diff,FactorAnalysis,default,MiniBatchKMeans,16093601,0.72,7.215146541595459
NIR_diff,FactorAnalysis,default,MiniBatchKMeans,16093801,0.5070422535211268,8.011470079421997
NIR_diff,FactorAnalysis,default,MiniBatchKMeans,170101,0.6829268292682926,5.906897306442261
NIR_diff,FactorAnalysis,default,MiniBatchKMeans,170103,0.7857142857142857,6.461074590682983
NIR_diff,FactorAnalysis,default,MiniBatchKMeans,170104,0.5079365079365079,7.007914304733276
NIR_diff,FactorAnalysis,default,MiniBatchKMeans,170108,0.7142857142857143,10.48739528656006
NIR_diff,FactorAnalysis,default,MiniBatchKMeans,170110,0.6349206349206349,10.557991981506348
NIR_diff,FactorAnalysis,default,SpectralClustering,16090101,0.9705882352941176,44.760024309158325
NIR_diff,FactorAnalysis,default,SpectralClustering,16090401,1.0,16.48420810699463
NIR_diff,FactorAnalysis,default,SpectralClustering,16090601,0.6976744186046512,55.632474422454834
NIR_diff,FactorAnalysis,default,SpectralClustering,16091201,0.6111111111111112,97.21307635307312
NIR_diff,FactorAnalysis,default,SpectralClustering,16091301,0.75,98.69300293922424
NIR_diff,FactorAnalysis,default,SpectralClustering,16091401,0.8367346938775511,56.51805639266968
NIR_diff,FactorAnalysis,default,SpectralClustering,16092001,0.8253968253968254,169.7803909778595
NIR_diff,FactorAnalysis,default,SpectralClustering,16092101,0.9761904761904762,16.799859285354614
NIR_diff,FactorAnalysis,default,SpectralClustering,16092201,0.7586206896551724,249.4907338619232
NIR_diff,FactorAnalysis,default,SpectralClustering,16092301,0.8305084745762712,38.75435304641724
NIR_diff,FactorAnalysis,default,SpectralClustering,16092501,0.8783783783783784,79.76444029808044
NIR_diff,FactorAnalysis,default,SpectralClustering,16092701,0.9166666666666666,14.365224361419678
NIR_diff,FactorAnalysis,default,SpectralClustering,16092801,0.6799999999999999,22.526221752166748
NIR_diff,FactorAnalysis,default,SpectralClustering,16093001,0.6451612903225806,150.9622392654419
NIR_diff,FactorAnalysis,default,SpectralClustering,16093201,0.7317073170731707,95.62110257148744
NIR_diff,FactorAnalysis,default,SpectralClustering,16093301,0.6756756756756757,64.55465483665466
NIR_diff,FactorAnalysis,default,SpectralClustering,16093501,0.6,72.07666659355164
NIR_diff,FactorAnalysis,default,SpectralClustering,16093601,1.0,11.842612743377686
NIR_diff,FactorAnalysis,default,SpectralClustering,16093801,0.8732394366197183,285.03049397468567
NIR_diff,FactorAnalysis,default,SpectralClustering,170101,0.5121951219512195,48.19233965873718
NIR_diff,FactorAnalysis,default,SpectralClustering,170103,0.8928571428571429,12.064149618148804
NIR_diff,FactorAnalysis,default,SpectralClustering,170104,1.0,30.89674067497253
NIR_diff,FactorAnalysis,default,SpectralClustering,170108,0.8095238095238095,11.181431770324709
NIR_diff,FactorAnalysis,default,SpectralClustering,170110,0.5238095238095238,15.272957801818848
NIR_diff,FastICA,default,AgglomerativeClustering,16090101,0.9117647058823528,0.8105254173278809
NIR_diff,FastICA,default,AgglomerativeClustering,16090401,0.9733333333333334,0.8923051357269287
NIR_diff,FastICA,default,AgglomerativeClustering,16090601,0.9767441860465116,0.7346880435943604
NIR_diff,FastICA,default,AgglomerativeClustering,16091201,0.9444444444444444,0.5107896327972412
NIR_diff,FastICA,default,AgglomerativeClustering,16091301,0.75,0.6315665245056152
NIR_diff,FastICA,default,AgglomerativeClustering,16091401,0.6326530612244898,0.515411376953125
NIR_diff,FastICA,default,AgglomerativeClustering,16092001,0.8253968253968254,0.6090292930603027
NIR_diff,FastICA,default,AgglomerativeClustering,16092101,1.0,0.7779679298400879
NIR_diff,FastICA,default,AgglomerativeClustering,16092201,0.8103448275862069,0.6753740310668945
NIR_diff,FastICA,default,AgglomerativeClustering,16092301,0.9830508474576272,0.690140962600708
NIR_diff,FastICA,default,AgglomerativeClustering,16092501,0.7162162162162162,0.6303384304046631
NIR_diff,FastICA,default,AgglomerativeClustering,16092701,0.9444444444444444,1.0051767826080322
NIR_diff,FastICA,default,AgglomerativeClustering,16092801,1.0,0.6870379447937012
NIR_diff,FastICA,default,AgglomerativeClustering,16093001,0.7258064516129032,0.6335813999176025
