video,clustering,acc,time
170101,MiniBatchKMeans,0.5121951219512195,264.6467685699463
170101,KMeans,0.5121951219512195,77.08144187927246
170101,SpectralClustering,0.5121951219512195,91.44830703735352
170101,Birch,0.5121951219512195,16.45970344543457
170101,AgglomerativeClustering,0.5121951219512195,0.7688999176025391
170103,MiniBatchKMeans,0.6428571428571428,10.384082794189453
170103,KMeans,0.6785714285714286,90.88993072509766
170103,SpectralClustering,0.6428571428571428,102.63276100158691
170103,Birch,0.6428571428571428,15.100479125976562
170103,AgglomerativeClustering,0.6428571428571428,0.5817413330078125
170104,MiniBatchKMeans,0.9841269841269842,236.90271377563477
170104,KMeans,1.0,84.73968505859375
170104,SpectralClustering,0.8888888888888888,1369.575023651123
170104,Birch,0.9841269841269842,22.48382568359375
170104,AgglomerativeClustering,0.9841269841269842,0.8764266967773438
170108,MiniBatchKMeans,0.5263157894736842,440.4017925262451
170108,KMeans,0.5263157894736842,70.3132152557373
170108,SpectralClustering,0.7368421052631579,85.77990531921387
170108,Birch,0.631578947368421,14.960765838623047
170108,AgglomerativeClustering,0.631578947368421,0.5354881286621094
16090101,MiniBatchKMeans,0.6764705882352942,362.0927333831787
16090101,KMeans,1.0,79.61082458496094
16090101,SpectralClustering,0.6764705882352942,573.1563568115234
16090101,Birch,1.0,14.183282852172852
16090101,AgglomerativeClustering,1.0,0.5795955657958984
16090401,MiniBatchKMeans,0.6533333333333333,116.1954402923584
16090401,KMeans,0.9866666666666667,76.65824890136719
16090401,SpectralClustering,0.6266666666666667,1415.6203269958496
16090401,Birch,0.6266666666666667,18.15056800842285
16090401,AgglomerativeClustering,0.6266666666666667,0.843048095703125
16090601,MiniBatchKMeans,0.5348837209302326,556.6198825836182
16090601,KMeans,0.5348837209302326,76.48396492004395
16090601,SpectralClustering,0.5348837209302326,1022.2020149230957
16090601,Birch,0.5348837209302326,17.11416244506836
16090601,AgglomerativeClustering,0.5348837209302326,0.7803440093994141
16091201,MiniBatchKMeans,0.9722222222222222,27.920961380004883
16091201,KMeans,0.7222222222222222,86.36164665222168
16091201,SpectralClustering,0.75,113.53898048400879
16091201,Birch,0.9722222222222222,16.881942749023438
16091201,AgglomerativeClustering,0.9722222222222222,0.6461143493652344
16091301,MiniBatchKMeans,0.5,159.743070602417
16091301,KMeans,0.75,53.84397506713867
16091301,SpectralClustering,0.75,686.9120597839355
16091301,Birch,0.75,14.629125595092773
16091301,AgglomerativeClustering,0.75,0.5795955657958984
16091401,MiniBatchKMeans,0.9787234042553191,10.21432876586914
16091401,KMeans,0.9148936170212766,10.425567626953125
16091401,SpectralClustering,1.0,655.2116870880127
16091401,Birch,0.8936170212765957,2.9649734497070312
16091401,AgglomerativeClustering,0.8936170212765957,0.5044937133789062
16092001,MiniBatchKMeans,0.6507936507936508,10.277986526489258
16092001,KMeans,0.6507936507936508,11.861562728881836
16092001,SpectralClustering,0.6507936507936508,1658.033847808838
16092001,Birch,1.0,5.086183547973633
16092001,AgglomerativeClustering,1.0,0.6306171417236328
16092101,MiniBatchKMeans,1.0,6.585359573364258
16092101,KMeans,0.9285714285714286,10.863542556762695
16092101,SpectralClustering,0.9285714285714286,489.9754524230957
16092101,Birch,1.0,14.258861541748047
16092101,AgglomerativeClustering,1.0,0.4901885986328125
16092201,MiniBatchKMeans,1.0,54.04496192932129
16092201,KMeans,0.7241379310344828,17.29750633239746
16092201,SpectralClustering,0.7241379310344828,878.1976699829102
16092201,Birch,1.0,4.643440246582031
16092201,AgglomerativeClustering,1.0,0.5655288696289062
16092301,MiniBatchKMeans,1.0,7.753610610961914
16092301,KMeans,0.7796610169491526,11.064767837524414
16092301,SpectralClustering,0.7796610169491526,975.9912490844727
16092301,Birch,0.7796610169491526,4.61125373840332
16092301,AgglomerativeClustering,0.7796610169491526,0.5979537963867188
16092501,MiniBatchKMeans,0.7702702702702703,8.266210556030273
16092501,KMeans,0.8648648648648649,10.50877571105957
16092501,SpectralClustering,0.6891891891891893,1408.7796211242676
16092501,Birch,0.8648648648648649,5.615949630737305
16092501,AgglomerativeClustering,0.8648648648648649,0.6844997406005859
16092801,MiniBatchKMeans,0.8200000000000001,7.495641708374023
16092801,KMeans,0.54,11.545658111572266
16092801,SpectralClustering,0.62,675.6563186645508
16092801,Birch,0.62,5.959749221801758
16092801,AgglomerativeClustering,0.62,0.5290508270263672
16093001,MiniBatchKMeans,0.6129032258064516,7.351398468017578
16093001,KMeans,0.6129032258064516,9.390592575073242
16093001,SpectralClustering,0.6129032258064516,636.6977691650391
16093001,Birch,0.6129032258064516,5.644798278808594
16093001,AgglomerativeClustering,0.6129032258064516,0.60272216796875
16093201,MiniBatchKMeans,0.8536585365853658,6.606340408325195
16093201,KMeans,0.8048780487804879,9.081363677978516
16093201,SpectralClustering,0.6585365853658536,58.091163635253906
16093201,Birch,0.8048780487804879,2.712726593017578
16093201,AgglomerativeClustering,0.8048780487804879,0.48041343688964844
16093301,MiniBatchKMeans,1.0,6.562709808349609
16093301,KMeans,1.0,9.959220886230469
16093301,SpectralClustering,0.6486486486486487,1295.3128814697266
16093301,Birch,0.6216216216216216,3.1273365020751953
16093301,AgglomerativeClustering,0.6216216216216216,0.4677772521972656
16093501,MiniBatchKMeans,0.6,23.372888565063477
16093501,KMeans,0.6,11.957883834838867
16093501,SpectralClustering,0.6363636363636364,1705.5470943450928
16093501,Birch,0.9454545454545454,15.801429748535156
16093501,AgglomerativeClustering,0.9454545454545454,0.7226467132568359
16093601,MiniBatchKMeans,0.6470588235294117,43.247222900390625
16093601,KMeans,0.7058823529411764,13.007879257202148
16093601,SpectralClustering,0.6470588235294117,24.54996109008789
16093601,Birch,0.6470588235294117,17.830610275268555
16093601,AgglomerativeClustering,0.6470588235294117,0.5271434783935547
16093801,MiniBatchKMeans,0.647887323943662,181.39982223510742
16093801,KMeans,0.5774647887323944,12.397050857543945
16093801,SpectralClustering,0.8028169014084507,1961.5168571472168
16093801,Birch,0.6056338028169015,27.596473693847656
16093801,AgglomerativeClustering,0.5492957746478874,0.8776187896728516
