video,clustering,acc,time
170101,MiniBatchKMeans,0.5121951219512195,140.82837104797363
170101,KMeans,0.5121951219512195,41.8241024017334
170101,SpectralClustering,0.5609756097560976,64.93043899536133
170101,Birch,0.5121951219512195,16.719341278076172
170101,AgglomerativeClustering,0.5121951219512195,0.7026195526123047
170103,MiniBatchKMeans,0.9642857142857143,159.93857383728027
170103,KMeans,0.9642857142857143,71.73466682434082
170103,SpectralClustering,0.9642857142857143,86.84349060058594
170103,Birch,1.0,17.234325408935547
170103,AgglomerativeClustering,1.0,0.7483959197998047
170104,MiniBatchKMeans,0.6031746031746031,319.58770751953125
170104,KMeans,0.6031746031746031,66.54739379882812
170104,SpectralClustering,0.6031746031746031,54.045677185058594
170104,Birch,0.5238095238095238,16.224145889282227
170104,AgglomerativeClustering,0.5238095238095238,0.9584426879882812
170108,MiniBatchKMeans,1.0,17.612457275390625
170108,KMeans,1.0,82.25011825561523
170108,SpectralClustering,1.0,44.88372802734375
170108,Birch,1.0,14.326333999633789
170108,AgglomerativeClustering,1.0,0.6685256958007812
16090101,MiniBatchKMeans,0.8529411764705882,25.22134780883789
16090101,KMeans,0.8529411764705882,75.54173469543457
16090101,SpectralClustering,0.8529411764705882,87.04614639282227
16090101,Birch,0.8529411764705882,15.266656875610352
16090101,AgglomerativeClustering,0.8529411764705882,0.7441043853759766
16090401,MiniBatchKMeans,0.84,246.90985679626465
16090401,KMeans,0.84,83.75120162963867
16090401,SpectralClustering,0.84,61.18917465209961
16090401,Birch,0.6,17.58575439453125
16090401,AgglomerativeClustering,0.88,1.1150836944580078
16090601,MiniBatchKMeans,0.6976744186046512,275.1626968383789
16090601,KMeans,0.6976744186046512,80.78527450561523
16090601,SpectralClustering,0.6976744186046512,75.20031929016113
16090601,Birch,0.6976744186046512,12.57634162902832
16090601,AgglomerativeClustering,0.6976744186046512,0.6952285766601562
16091201,MiniBatchKMeans,0.9166666666666666,187.70647048950195
16091201,KMeans,0.8888888888888888,76.00927352905273
16091201,SpectralClustering,0.8888888888888888,85.58416366577148
16091201,Birch,0.9444444444444444,17.1048641204834
16091201,AgglomerativeClustering,0.9444444444444444,0.8254051208496094
16091301,MiniBatchKMeans,0.6363636363636364,46.021461486816406
16091301,KMeans,0.6363636363636364,81.64191246032715
16091301,SpectralClustering,0.6590909090909092,45.95160484313965
16091301,Birch,0.6363636363636364,14.998435974121094
16091301,AgglomerativeClustering,0.6590909090909091,0.6988048553466797
16091401,MiniBatchKMeans,0.7446808510638298,356.54449462890625
16091401,KMeans,0.7446808510638299,87.23092079162598
16091401,SpectralClustering,0.7446808510638298,95.95203399658203
16091401,Birch,0.7446808510638298,15.013456344604492
16091401,AgglomerativeClustering,0.7872340425531915,0.690460205078125
16092001,MiniBatchKMeans,0.873015873015873,91.17794036865234
16092001,KMeans,0.8888888888888888,77.95047760009766
16092001,SpectralClustering,0.8571428571428572,47.41859436035156
16092001,Birch,0.8888888888888888,15.584945678710938
16092001,AgglomerativeClustering,0.8888888888888888,0.7615089416503906
16092101,MiniBatchKMeans,0.6904761904761905,19.670724868774414
16092101,KMeans,0.6666666666666667,39.983272552490234
16092101,SpectralClustering,0.7142857142857143,70.79195976257324
16092101,Birch,0.6428571428571428,14.586687088012695
16092101,AgglomerativeClustering,0.6428571428571429,0.6561279296875
16092201,MiniBatchKMeans,0.7068965517241379,129.2734146118164
16092201,KMeans,0.7068965517241379,72.3569393157959
16092201,SpectralClustering,0.6379310344827587,85.97159385681152
16092201,Birch,0.7241379310344828,14.646291732788086
16092201,AgglomerativeClustering,0.7586206896551724,1.4126300811767578
16092301,MiniBatchKMeans,0.7288135593220338,303.27916145324707
16092301,KMeans,0.7457627118644068,81.7258358001709
16092301,SpectralClustering,0.7457627118644068,67.85893440246582
16092301,Birch,0.7457627118644068,16.774415969848633
16092301,AgglomerativeClustering,0.6271186440677966,0.7863044738769531
16092501,MiniBatchKMeans,0.7432432432432432,237.00761795043945
16092501,KMeans,0.7432432432432432,83.2822322845459
16092501,SpectralClustering,0.7432432432432432,84.76495742797852
16092501,Birch,0.7432432432432432,17.683982849121094
16092501,AgglomerativeClustering,0.7297297297297297,0.9415149688720703
16092801,MiniBatchKMeans,0.86,243.22843551635742
16092801,KMeans,0.86,92.29564666748047
16092801,SpectralClustering,0.86,52.680015563964844
16092801,Birch,0.66,8.995532989501953
16092801,AgglomerativeClustering,0.88,0.6794929504394531
16093001,MiniBatchKMeans,0.532258064516129,385.77961921691895
16093001,KMeans,0.532258064516129,88.88530731201172
16093001,SpectralClustering,0.532258064516129,84.38277244567871
16093001,Birch,0.564516129032258,18.275976181030273
16093001,AgglomerativeClustering,0.5161290322580645,0.7827281951904297
16093201,MiniBatchKMeans,0.7560975609756098,127.85792350769043
16093201,KMeans,0.7560975609756098,49.46708679199219
16093201,SpectralClustering,0.7560975609756098,50.53281784057617
16093201,Birch,0.5609756097560976,15.939950942993164
16093201,AgglomerativeClustering,0.7560975609756098,0.7965564727783203
16093301,MiniBatchKMeans,0.7837837837837838,159.8517894744873
16093301,KMeans,0.7837837837837838,83.44602584838867
16093301,SpectralClustering,0.7837837837837838,79.57196235656738
16093301,Birch,0.7837837837837838,13.556241989135742
16093301,AgglomerativeClustering,0.7837837837837838,0.6229877471923828
16093501,MiniBatchKMeans,0.9090909090909091,142.61913299560547
16093501,KMeans,0.9090909090909091,84.63191986083984
16093501,SpectralClustering,0.9090909090909091,36.60988807678223
16093501,Birch,0.7272727272727273,13.770580291748047
16093501,AgglomerativeClustering,0.8545454545454545,0.8664131164550781
16093601,MiniBatchKMeans,0.9411764705882353,87.75949478149414
16093601,KMeans,0.9411764705882353,86.65585517883301
16093601,SpectralClustering,0.9411764705882353,54.02827262878418
16093601,Birch,0.8823529411764706,5.242109298706055
16093601,AgglomerativeClustering,0.8823529411764706,0.45013427734375
16093801,MiniBatchKMeans,0.9859154929577465,37.55903244018555
16093801,KMeans,0.9859154929577465,45.61138153076172
16093801,SpectralClustering,0.9859154929577465,91.0177230834961
16093801,Birch,0.7887323943661971,9.790420532226562
16093801,AgglomerativeClustering,0.9859154929577465,0.8091926574707031
