col,img,cluster,acc,time
NIR_tsd,170101,MiniBatchKMeans,0.5609756097560976,215.88897705078125
NIR_tsd,170101,KMeans,0.5121951219512195,133.5158348083496
NIR_tsd,170101,SpectralClustering,0.5121951219512195,171.01097106933594
NIR_tsd,170101,Birch,0.5121951219512195,56.52046203613281
NIR_tsd,170101,AgglomerativeClustering,0.5121951219512195,4.009008407592773
NIR_tsd,170103,MiniBatchKMeans,0.7857142857142857,148.36478233337402
NIR_tsd,170103,KMeans,0.7857142857142857,164.49832916259766
NIR_tsd,170103,SpectralClustering,0.5357142857142857,130.98859786987305
NIR_tsd,170103,Birch,0.75,44.35849189758301
NIR_tsd,170103,AgglomerativeClustering,0.75,2.2237300872802734
NIR_tsd,170104,MiniBatchKMeans,0.6507936507936508,193.26305389404297
NIR_tsd,170104,KMeans,0.6349206349206349,162.3709201812744
NIR_tsd,170104,SpectralClustering,0.5396825396825397,128.28707695007324
NIR_tsd,170104,Birch,0.6349206349206349,41.094303131103516
NIR_tsd,170104,AgglomerativeClustering,0.6349206349206349,5.4779052734375
NIR_tsd,170108,MiniBatchKMeans,1.0,85.2360725402832
NIR_tsd,170108,KMeans,1.0,16.634225845336914
NIR_tsd,170108,SpectralClustering,0.5714285714285714,99.77960586547852
NIR_tsd,170108,Birch,1.0,18.126249313354492
NIR_tsd,170108,AgglomerativeClustering,1.0,2.3114681243896484
NIR_tsd,170110,MiniBatchKMeans,0.5079365079365079,155.51304817199707
NIR_tsd,170110,KMeans,0.5079365079365079,198.58694076538086
NIR_tsd,170110,SpectralClustering,0.5555555555555556,136.83438301086426
NIR_tsd,170110,Birch,0.5079365079365079,42.16432571411133
NIR_tsd,170110,AgglomerativeClustering,0.5079365079365079,4.906177520751953
NIR_tsd,16090101,MiniBatchKMeans,0.8235294117647058,166.60809516906738
NIR_tsd,16090101,KMeans,0.8235294117647058,142.13323593139648
NIR_tsd,16090101,SpectralClustering,0.7352941176470589,171.16165161132812
NIR_tsd,16090101,Birch,0.8529411764705882,48.8896369934082
NIR_tsd,16090101,AgglomerativeClustering,0.8529411764705882,3.117084503173828
NIR_tsd,16090401,MiniBatchKMeans,0.8666666666666667,148.5888957977295
NIR_tsd,16090401,KMeans,0.8666666666666667,179.64482307434082
NIR_tsd,16090401,SpectralClustering,0.6,152.43244171142578
NIR_tsd,16090401,Birch,0.96,45.3946590423584
NIR_tsd,16090401,AgglomerativeClustering,0.96,6.777048110961914
NIR_tsd,16090601,MiniBatchKMeans,0.7209302325581395,138.50712776184082
NIR_tsd,16090601,KMeans,0.7209302325581395,139.57715034484863
NIR_tsd,16090601,SpectralClustering,0.5348837209302325,158.54620933532715
NIR_tsd,16090601,Birch,0.7209302325581395,20.768404006958008
NIR_tsd,16090601,AgglomerativeClustering,0.7209302325581395,4.126787185668945
NIR_tsd,16091201,MiniBatchKMeans,0.8888888888888888,161.40270233154297
NIR_tsd,16091201,KMeans,0.9444444444444444,100.45886039733887
NIR_tsd,16091201,SpectralClustering,0.6111111111111112,171.53310775756836
NIR_tsd,16091201,Birch,0.8611111111111112,22.597312927246094
NIR_tsd,16091201,AgglomerativeClustering,0.8611111111111112,2.1774768829345703
NIR_tsd,16091301,MiniBatchKMeans,0.5681818181818181,161.04841232299805
NIR_tsd,16091301,KMeans,0.5454545454545454,72.50618934631348
NIR_tsd,16091301,SpectralClustering,0.5227272727272727,201.2348175048828
NIR_tsd,16091301,Birch,0.5454545454545454,50.47321319580078
NIR_tsd,16091301,AgglomerativeClustering,0.5454545454545454,10.040760040283203
NIR_tsd,16091401,MiniBatchKMeans,0.673469387755102,311.6321563720703
