img,model,N_data,acc,time
170101,SpectralClustering,200.0,0.5853658536585366,67.313
170101,SpectralClustering,175.0,0.5853658536585367,87.812
170101,SpectralClustering,140.0,0.5853658536585366,86.635
170101,SpectralClustering,100.0,0.5853658536585366,96.772
170101,SpectralClustering,70.0,0.5853658536585366,83.677
170101,SpectralClustering,56.0,0.6097560975609756,84.286
170101,SpectralClustering,50.0,0.6097560975609756,83.087
170101,SpectralClustering,40.0,0.6097560975609756,78.353
170101,SpectralClustering,35.0,0.6097560975609756,76.085
170101,SpectralClustering,28.0,0.6097560975609756,85.38
170101,SpectralClustering,25.0,0.6341463414634146,82.031
170101,SpectralClustering,20.0,0.6097560975609756,123.801
170101,SpectralClustering,14.0,0.6341463414634146,100.382
170101,SpectralClustering,10.0,0.6097560975609756,89.073
170101,SpectralClustering,8.0,0.5853658536585366,97.893
170101,SpectralClustering,7.0,0.6097560975609756,107.841
170101,SpectralClustering,5.0,0.5609756097560976,82.791
170101,SpectralClustering,4.0,0.5853658536585366,79.848
170101,SpectralClustering,2.0,0.6097560975609756,89.43
170101,Birch,1400.0,0.6097560975609756,35.295
170101,Birch,700.0,0.6097560975609756,28.255
170101,Birch,350.0,0.6097560975609756,26.629
170101,Birch,280.0,0.6097560975609756,17.641
170101,Birch,200.0,0.6097560975609756,20.527
170101,Birch,175.0,0.6097560975609756,27.857
170101,Birch,140.0,0.6097560975609756,32.462
170101,Birch,100.0,0.6097560975609756,13.923
170101,Birch,70.0,0.6097560975609756,14.802
170101,Birch,56.0,0.6097560975609756,14.737
170101,Birch,50.0,0.6097560975609756,14.557
170101,Birch,40.0,0.6097560975609756,11.867
170101,Birch,35.0,0.6097560975609756,14.873
170101,Birch,28.0,0.6097560975609756,14.565
170101,Birch,25.0,0.6097560975609756,16.305
170101,Birch,20.0,0.5609756097560976,14.824
170101,Birch,14.0,0.6097560975609756,14.941
170101,Birch,10.0,0.5609756097560976,15.473
170101,Birch,8.0,0.5609756097560976,16.16
170101,Birch,7.0,0.5609756097560976,14.075
170101,Birch,5.0,0.5121951219512195,16.107
170101,Birch,4.0,0.5853658536585367,14.442
170101,Birch,2.0,0.5121951219512195,3.647
170101,AgglomerativeClustering,1400.0,0.6097560975609756,1.954
170101,AgglomerativeClustering,700.0,0.6097560975609756,1.359
170101,AgglomerativeClustering,350.0,0.6097560975609756,0.988
170101,AgglomerativeClustering,280.0,0.6097560975609756,0.95
170101,AgglomerativeClustering,200.0,0.6097560975609756,1.901
170101,AgglomerativeClustering,175.0,0.6097560975609756,0.703
170101,AgglomerativeClustering,140.0,0.6097560975609756,0.705
170101,AgglomerativeClustering,100.0,0.6097560975609756,0.533
170101,AgglomerativeClustering,70.0,0.6097560975609756,0.502
170101,AgglomerativeClustering,56.0,0.6097560975609756,0.462
170101,AgglomerativeClustering,50.0,0.6097560975609756,0.444
170101,AgglomerativeClustering,40.0,0.6097560975609756,0.438
170101,AgglomerativeClustering,35.0,0.6097560975609756,0.425
170101,AgglomerativeClustering,28.0,0.6097560975609756,0.425
170101,AgglomerativeClustering,25.0,0.6097560975609756,0.398
170101,AgglomerativeClustering,20.0,0.6097560975609756,0.393
170101,AgglomerativeClustering,14.0,0.6097560975609756,0.384
170101,AgglomerativeClustering,10.0,0.6097560975609756,0.411
170101,AgglomerativeClustering,8.0,0.5853658536585367,0.396
170101,AgglomerativeClustering,7.0,0.5853658536585367,0.399
170101,AgglomerativeClustering,5.0,0.5609756097560976,0.402
170101,AgglomerativeClustering,4.0,0.5853658536585367,0.38
170101,AgglomerativeClustering,2.0,0.5609756097560976,0.371
170103,MiniBatchKMeans,1400.0,1.0,199.826
170103,MiniBatchKMeans,700.0,1.0,219.457
170103,MiniBatchKMeans,350.0,1.0,174.533
170103,MiniBatchKMeans,280.0,1.0,111.814
170103,MiniBatchKMeans,200.0,1.0,121.174
170103,MiniBatchKMeans,175.0,1.0,144.487
170103,MiniBatchKMeans,140.0,1.0,348.931
170103,MiniBatchKMeans,100.0,1.0,247.811
170103,MiniBatchKMeans,70.0,1.0,492.287
170103,MiniBatchKMeans,56.0,1.0,480.109
170103,MiniBatchKMeans,50.0,1.0,42.068
170103,MiniBatchKMeans,40.0,1.0,171.597
170103,MiniBatchKMeans,35.0,1.0,39.274
170103,MiniBatchKMeans,28.0,1.0,71.072
170103,MiniBatchKMeans,25.0,1.0,103.94
170103,MiniBatchKMeans,20.0,1.0,126.375
170103,MiniBatchKMeans,14.0,1.0,62.888
170103,MiniBatchKMeans,10.0,1.0,74.575
170103,MiniBatchKMeans,8.0,1.0,82.332
170103,MiniBatchKMeans,7.0,1.0,28.909
170103,MiniBatchKMeans,5.0,1.0,145.856
170103,MiniBatchKMeans,4.0,1.0,365.299
170103,MiniBatchKMeans,2.0,1.0,120.819
170103,KMeans,1400.0,1.0,208.502
170103,KMeans,700.0,1.0,248.572
170103,KMeans,350.0,1.0,118.182
170103,KMeans,280.0,1.0,94.039
170103,KMeans,200.0,1.0,9.297
170103,KMeans,175.0,1.0,9.323
170103,KMeans,140.0,1.0,9.091
170103,KMeans,100.0,1.0,8.865
170103,KMeans,70.0,1.0,8.888
170103,KMeans,56.0,1.0,8.881
170103,KMeans,50.0,1.0,8.985
170103,KMeans,40.0,1.0,8.742
170103,KMeans,35.0,1.0,8.776
170103,KMeans,28.0,1.0,8.763
170103,KMeans,25.0,1.0,9.951
170103,KMeans,20.0,1.0,10.869
170103,KMeans,14.0,1.0,8.615
170103,KMeans,10.0,1.0,9.002
170103,KMeans,8.0,1.0,8.477
170103,KMeans,7.0,1.0,8.624
170103,KMeans,5.0,1.0,8.686
170103,KMeans,4.0,1.0,8.663
170103,KMeans,2.0,1.0,8.775
170103,SpectralClustering,1400.0,1.0,11.881
170103,SpectralClustering,700.0,1.0,11.89
170103,SpectralClustering,350.0,1.0,10.7
170103,SpectralClustering,280.0,1.0,10.82
170103,SpectralClustering,200.0,1.0,10.938
170103,SpectralClustering,175.0,1.0,10.993
170103,SpectralClustering,140.0,1.0,11.035
170103,SpectralClustering,100.0,1.0,10.967
170103,SpectralClustering,70.0,1.0,10.904
170103,SpectralClustering,56.0,1.0,10.9
170103,SpectralClustering,50.0,1.0,10.924
170103,SpectralClustering,40.0,1.0,10.879
170103,SpectralClustering,35.0,1.0,10.832
170103,SpectralClustering,28.0,1.0,72.625
170103,SpectralClustering,25.0,1.0,27.487
170103,SpectralClustering,20.0,1.0,11.641
170103,SpectralClustering,14.0,1.0,11.15
170103,SpectralClustering,10.0,1.0,10.858
170103,SpectralClustering,8.0,1.0,10.858
170103,SpectralClustering,7.0,1.0,10.82
170103,SpectralClustering,5.0,1.0,11.012
170103,SpectralClustering,4.0,1.0,10.807
170103,SpectralClustering,2.0,1.0,11.547
170103,Birch,1400.0,1.0,15.917
170103,Birch,700.0,1.0,16.662
170103,Birch,350.0,1.0,17.998
170103,Birch,280.0,1.0,16.494
170103,Birch,200.0,1.0,17.953
170103,Birch,175.0,1.0,17.969
170103,Birch,140.0,1.0,15.239
170103,Birch,100.0,1.0,16.412
170103,Birch,70.0,1.0,4.618
170103,Birch,56.0,1.0,2.299
170103,Birch,50.0,1.0,2.081
170103,Birch,40.0,1.0,2.089
170103,Birch,35.0,1.0,3.611
170103,Birch,28.0,1.0,2.255
170103,Birch,25.0,1.0,2.075
170103,Birch,20.0,1.0,2.073
170103,Birch,14.0,1.0,2.058
170103,Birch,10.0,1.0,2.053
170103,Birch,8.0,1.0,2.011
170103,Birch,7.0,1.0,2.029
170103,Birch,5.0,1.0,2.032
170103,Birch,4.0,1.0,2.141
170103,Birch,2.0,1.0,1.96
170103,AgglomerativeClustering,1400.0,1.0,1.005
170103,AgglomerativeClustering,700.0,1.0,0.489
170103,AgglomerativeClustering,350.0,1.0,0.389
170103,AgglomerativeClustering,280.0,1.0,0.369
170103,AgglomerativeClustering,200.0,1.0,0.348
170103,AgglomerativeClustering,175.0,1.0,0.339
170103,AgglomerativeClustering,140.0,1.0,0.325
170103,AgglomerativeClustering,100.0,1.0,0.313
170103,AgglomerativeClustering,70.0,1.0,0.338
170103,AgglomerativeClustering,56.0,1.0,0.295
170103,AgglomerativeClustering,50.0,1.0,0.293
170103,AgglomerativeClustering,40.0,1.0,0.289
170103,AgglomerativeClustering,35.0,1.0,0.287
170103,AgglomerativeClustering,28.0,1.0,0.396
170103,AgglomerativeClustering,25.0,1.0,0.284
170103,AgglomerativeClustering,20.0,1.0,0.282
170103,AgglomerativeClustering,14.0,1.0,0.28
170103,AgglomerativeClustering,10.0,1.0,0.295
170103,AgglomerativeClustering,8.0,1.0,0.278
