video,clustering,acc
170101,MiniBatchKMeans,0.7804878048780488
170101,KMeans,0.7560975609756098
170101,SpectralClustering,0.7560975609756098
170101,Birch,0.5365853658536586
170101,AgglomerativeClustering,0.7073170731707317
170103,MiniBatchKMeans,0.7142857142857143
170103,KMeans,0.7142857142857143
170103,SpectralClustering,0.7142857142857143
170103,Birch,0.6428571428571429
170103,AgglomerativeClustering,0.7142857142857143
170104,MiniBatchKMeans,0.9523809523809523
170104,KMeans,0.8095238095238095
170104,SpectralClustering,0.7936507936507936
170104,Birch,0.8095238095238095
170104,AgglomerativeClustering,0.5714285714285714
170108,MiniBatchKMeans,1.0
170108,KMeans,1.0
170108,SpectralClustering,1.0
170108,Birch,0.736842105263158
170108,AgglomerativeClustering,1.0
16090101,MiniBatchKMeans,0.8235294117647058
16090101,KMeans,0.8235294117647058
16090101,SpectralClustering,0.8235294117647058
16090101,Birch,0.6764705882352942
16090101,AgglomerativeClustering,0.8235294117647058
16090401,MiniBatchKMeans,0.9066666666666666
16090401,KMeans,0.9066666666666666
16090401,SpectralClustering,0.9066666666666666
16090401,Birch,0.6266666666666667
16090401,AgglomerativeClustering,0.96
16090601,MiniBatchKMeans,0.9534883720930233
16090601,KMeans,0.9534883720930233
16090601,SpectralClustering,0.9534883720930233
16090601,Birch,0.5348837209302325
16090601,AgglomerativeClustering,0.9302325581395349
16091201,MiniBatchKMeans,0.8888888888888888
16091201,KMeans,0.8888888888888888
16091201,SpectralClustering,0.8888888888888888
16091201,Birch,0.75
16091201,AgglomerativeClustering,0.9166666666666666
16091301,MiniBatchKMeans,0.6818181818181819
16091301,KMeans,0.6818181818181819
16091301,SpectralClustering,0.6818181818181819
16091301,Birch,0.75
16091301,AgglomerativeClustering,0.6818181818181819
16091401,MiniBatchKMeans,0.7021276595744681
16091401,KMeans,0.6808510638297872
16091401,SpectralClustering,0.6382978723404256
16091401,Birch,0.8936170212765957
16091401,AgglomerativeClustering,0.7872340425531915
16092001,MiniBatchKMeans,0.8888888888888888
16092001,KMeans,0.9365079365079365
16092001,SpectralClustering,0.9523809523809523
16092001,Birch,0.6507936507936508
16092001,AgglomerativeClustering,0.9523809523809523
16092101,MiniBatchKMeans,0.7380952380952381
16092101,KMeans,0.7380952380952381
16092101,SpectralClustering,0.7380952380952381
16092101,Birch,0.9285714285714286
16092101,AgglomerativeClustering,0.7619047619047619
16092201,MiniBatchKMeans,0.6379310344827587
16092201,KMeans,0.5689655172413793
16092201,SpectralClustering,0.5689655172413793
16092201,Birch,0.7241379310344828
16092201,AgglomerativeClustering,0.6724137931034483
16092301,MiniBatchKMeans,0.6440677966101696
16092301,KMeans,0.6440677966101694
16092301,SpectralClustering,0.6440677966101696
16092301,Birch,0.7796610169491526
16092301,AgglomerativeClustering,0.6440677966101694
16092501,MiniBatchKMeans,0.7432432432432432
16092501,KMeans,0.7432432432432432
16092501,SpectralClustering,0.7432432432432432
16092501,Birch,0.6891891891891891
16092501,AgglomerativeClustering,0.7432432432432432
16092801,MiniBatchKMeans,0.9
16092801,KMeans,0.92
16092801,SpectralClustering,0.92
16092801,Birch,0.64
16092801,AgglomerativeClustering,0.9
16093001,MiniBatchKMeans,0.6290322580645161
16093001,KMeans,0.6290322580645161
16093001,SpectralClustering,0.6290322580645161
16093001,Birch,0.6129032258064516
16093001,AgglomerativeClustering,0.532258064516129
16093201,MiniBatchKMeans,0.7317073170731707
16093201,KMeans,0.7804878048780488
16093201,SpectralClustering,0.7804878048780488
16093201,Birch,0.6585365853658537
16093201,AgglomerativeClustering,0.6829268292682927
16093301,MiniBatchKMeans,0.8108108108108107
16093301,KMeans,0.8108108108108109
16093301,SpectralClustering,0.8648648648648649
16093301,Birch,0.6216216216216216
16093301,AgglomerativeClustering,0.8648648648648649
16093501,MiniBatchKMeans,0.9090909090909091
16093501,KMeans,0.9090909090909091
16093501,SpectralClustering,0.9090909090909091
16093501,Birch,0.6363636363636364
16093501,AgglomerativeClustering,0.9454545454545454
16093601,MiniBatchKMeans,0.9411764705882353
16093601,KMeans,0.9411764705882353
16093601,SpectralClustering,0.9411764705882353
16093601,Birch,0.6470588235294118
16093601,AgglomerativeClustering,0.9411764705882353
16093801,MiniBatchKMeans,0.9436619718309859
16093801,KMeans,0.9577464788732395
16093801,SpectralClustering,0.9577464788732394
16093801,Birch,0.8169014084507042
16093801,AgglomerativeClustering,0.8591549295774648
