video,clustering,acc
170101,MiniBatchKMeans,0.7560975609756098
170101,KMeans,0.7560975609756098
170101,SpectralClustering,0.7073170731707317
170101,Birch,0.8292682926829268
170101,AgglomerativeClustering,0.7073170731707317
170103,MiniBatchKMeans,0.7142857142857143
170103,KMeans,0.7142857142857143
170103,SpectralClustering,0.7142857142857143
170103,Birch,0.75
170103,AgglomerativeClustering,0.7142857142857143
170104,MiniBatchKMeans,0.5873015873015873
170104,KMeans,0.5873015873015873
170104,SpectralClustering,0.5873015873015873
170104,Birch,0.8095238095238095
170104,AgglomerativeClustering,0.5714285714285714
170108,MiniBatchKMeans,1.0
170108,KMeans,1.0
170108,SpectralClustering,1.0
170108,Birch,1.0
170108,AgglomerativeClustering,1.0
16090101,MiniBatchKMeans,0.8235294117647058
16090101,KMeans,0.8235294117647058
16090101,SpectralClustering,0.8235294117647058
16090101,Birch,0.8235294117647058
16090101,AgglomerativeClustering,0.8235294117647058
16090401,MiniBatchKMeans,0.9066666666666666
16090401,KMeans,0.9066666666666666
16090401,SpectralClustering,0.9066666666666666
16090401,Birch,0.6266666666666667
16090401,AgglomerativeClustering,0.9866666666666667
16090601,MiniBatchKMeans,0.9767441860465116
16090601,KMeans,0.9767441860465116
16090601,SpectralClustering,0.9767441860465116
16090601,Birch,0.9767441860465116
16090601,AgglomerativeClustering,0.9534883720930233
16091201,MiniBatchKMeans,0.8888888888888888
16091201,KMeans,0.8888888888888888
16091201,SpectralClustering,0.8888888888888888
16091201,Birch,0.75
16091201,AgglomerativeClustering,0.9444444444444444
16091301,MiniBatchKMeans,0.6818181818181819
16091301,KMeans,0.6818181818181819
16091301,SpectralClustering,0.6590909090909092
16091301,Birch,0.75
16091301,AgglomerativeClustering,0.6590909090909092
16091401,MiniBatchKMeans,0.7021276595744681
16091401,KMeans,0.7021276595744681
16091401,SpectralClustering,0.7872340425531915
16091401,Birch,0.5319148936170213
16091401,AgglomerativeClustering,0.7872340425531915
16092001,MiniBatchKMeans,0.9523809523809523
16092001,KMeans,0.9523809523809523
16092001,SpectralClustering,0.8412698412698413
16092001,Birch,0.8412698412698413
16092001,AgglomerativeClustering,0.9523809523809523
16092101,MiniBatchKMeans,0.6428571428571429
16092101,KMeans,0.6428571428571428
16092101,SpectralClustering,0.7619047619047619
16092101,Birch,0.6428571428571428
16092101,AgglomerativeClustering,0.6428571428571429
16092201,MiniBatchKMeans,0.5172413793103448
16092201,KMeans,0.5689655172413793
16092201,SpectralClustering,0.5517241379310345
16092201,Birch,0.5689655172413793
16092201,AgglomerativeClustering,0.5517241379310345
16092301,MiniBatchKMeans,0.5932203389830508
16092301,KMeans,0.6271186440677966
16092301,SpectralClustering,0.6101694915254238
16092301,Birch,0.7627118644067796
16092301,AgglomerativeClustering,0.5423728813559322
16092501,MiniBatchKMeans,0.7432432432432432
16092501,KMeans,0.7432432432432432
16092501,SpectralClustering,0.7432432432432432
16092501,Birch,0.7432432432432432
16092501,AgglomerativeClustering,0.7432432432432432
16092801,MiniBatchKMeans,0.98
16092801,KMeans,0.98
16092801,SpectralClustering,0.98
16092801,Birch,0.64
16092801,AgglomerativeClustering,1.0
16093001,MiniBatchKMeans,0.6290322580645161
16093001,KMeans,0.6290322580645161
16093001,SpectralClustering,0.6451612903225806
16093001,Birch,0.5967741935483871
16093001,AgglomerativeClustering,0.6290322580645161
16093201,MiniBatchKMeans,0.7804878048780488
16093201,KMeans,0.7560975609756098
16093201,SpectralClustering,0.7560975609756098
16093201,Birch,0.6829268292682927
16093201,AgglomerativeClustering,0.7804878048780488
16093301,MiniBatchKMeans,0.8918918918918919
16093301,KMeans,0.9189189189189189
16093301,SpectralClustering,0.8108108108108107
16093301,Birch,0.6216216216216216
16093301,AgglomerativeClustering,0.7567567567567568
16093501,MiniBatchKMeans,0.9090909090909091
16093501,KMeans,0.9090909090909091
16093501,SpectralClustering,0.8727272727272727
16093501,Birch,0.9454545454545454
16093501,AgglomerativeClustering,0.9454545454545454
16093601,MiniBatchKMeans,0.9411764705882353
16093601,KMeans,0.9411764705882353
16093601,SpectralClustering,0.9411764705882353
16093601,Birch,0.9411764705882353
16093601,AgglomerativeClustering,0.9411764705882353
16093801,MiniBatchKMeans,0.9577464788732394
16093801,KMeans,0.9577464788732395
16093801,SpectralClustering,0.971830985915493
16093801,Birch,0.971830985915493
16093801,AgglomerativeClustering,0.971830985915493
