video,clustering,acc,time
170101,MiniBatchKMeans,0.8048780487804879,267.26627349853516
170101,KMeans,0.6585365853658536,79.72311973571777
170101,SpectralClustering,0.7317073170731707,89.09177780151367
170101,Birch,0.5365853658536586,24.553298950195312
170101,AgglomerativeClustering,0.7317073170731707,0.8022785186767578
170103,MiniBatchKMeans,0.9285714285714286,58.96925926208496
170103,KMeans,0.8571428571428572,88.59372138977051
170103,SpectralClustering,0.75,88.87624740600586
170103,Birch,0.75,14.875650405883789
170103,AgglomerativeClustering,0.7142857142857143,0.7123947143554688
170104,MiniBatchKMeans,1.0,133.12005996704102
170104,KMeans,1.0,54.93807792663574
170104,SpectralClustering,0.9682539682539683,56.662797927856445
170104,Birch,0.9682539682539683,14.010190963745117
170104,AgglomerativeClustering,1.0,0.7710456848144531
170108,MiniBatchKMeans,0.7368421052631579,53.19857597351074
170108,KMeans,0.7368421052631579,36.38267517089844
170108,SpectralClustering,0.7368421052631579,88.67406845092773
170108,Birch,1.0,14.419794082641602
170108,AgglomerativeClustering,0.7368421052631579,0.5452632904052734
16090101,MiniBatchKMeans,0.6764705882352942,76.29942893981934
16090101,KMeans,1.0,53.1306266784668
16090101,SpectralClustering,1.0,96.80557250976562
16090101,Birch,1.0,16.26420021057129
16090101,AgglomerativeClustering,1.0,0.7355213165283203
16090401,MiniBatchKMeans,0.6266666666666667,417.41299629211426
16090401,KMeans,0.6266666666666667,76.39718055725098
16090401,SpectralClustering,0.6266666666666667,58.80165100097656
16090401,Birch,0.6266666666666667,14.156579971313477
16090401,AgglomerativeClustering,1.0,0.7863044738769531
16090601,MiniBatchKMeans,0.5348837209302326,179.2614459991455
16090601,KMeans,1.0,49.64733123779297
16090601,SpectralClustering,0.5581395348837209,53.6799430847168
16090601,Birch,0.9767441860465116,14.979839324951172
16090601,AgglomerativeClustering,0.9767441860465116,0.6556510925292969
16091201,MiniBatchKMeans,0.6666666666666666,80.03735542297363
16091201,KMeans,0.9166666666666666,80.00326156616211
16091201,SpectralClustering,0.6666666666666666,88.0584716796875
16091201,Birch,0.6666666666666666,13.506412506103516
16091201,AgglomerativeClustering,0.7222222222222222,0.6031990051269531
16091301,MiniBatchKMeans,0.6363636363636364,134.41872596740723
16091301,KMeans,0.5909090909090909,45.01056671142578
16091301,SpectralClustering,0.5909090909090909,37.423133850097656
16091301,Birch,0.7045454545454546,15.329122543334961
16091301,AgglomerativeClustering,0.5909090909090909,0.6060600280761719
16091401,MiniBatchKMeans,0.8936170212765957,41.38517379760742
16091401,KMeans,0.8936170212765957,77.72970199584961
16091401,SpectralClustering,1.0,48.621416091918945
16091401,Birch,1.0,16.595125198364258
16091401,AgglomerativeClustering,0.8936170212765957,2.7887821197509766
16092001,MiniBatchKMeans,0.7301587301587302,42.74630546569824
16092001,KMeans,0.9206349206349207,83.89139175415039
16092001,SpectralClustering,0.8095238095238095,37.38141059875488
16092001,Birch,0.9206349206349207,15.450239181518555
16092001,AgglomerativeClustering,0.9206349206349207,0.7472038269042969
16092101,MiniBatchKMeans,0.9285714285714286,45.220136642456055
16092101,KMeans,0.9285714285714286,82.0016860961914
16092101,SpectralClustering,0.9285714285714286,82.03577995300293
16092101,Birch,0.9285714285714286,15.865802764892578
16092101,AgglomerativeClustering,1.0,0.7808208465576172
16092201,MiniBatchKMeans,0.9310344827586207,215.93976020812988
16092201,KMeans,0.7931034482758621,78.47428321838379
16092201,SpectralClustering,0.7931034482758621,78.95541191101074
16092201,Birch,0.7758620689655172,16.474246978759766
16092201,AgglomerativeClustering,0.7758620689655172,0.8797645568847656
16092301,MiniBatchKMeans,0.7796610169491526,278.6293029785156
16092301,KMeans,0.7796610169491526,44.68488693237305
16092301,SpectralClustering,0.7796610169491526,115.96035957336426
16092301,Birch,0.7796610169491526,22.408723831176758
16092301,AgglomerativeClustering,0.7966101694915254,0.7283687591552734
16092501,MiniBatchKMeans,0.7162162162162162,430.65524101257324
16092501,KMeans,0.972972972972973,93.88995170593262
16092501,SpectralClustering,0.9189189189189189,87.93854713439941
16092501,Birch,0.8783783783783784,14.99485969543457
16092501,AgglomerativeClustering,0.7162162162162162,0.8280277252197266
16092801,MiniBatchKMeans,0.56,148.24748039245605
16092801,KMeans,0.56,80.8262825012207
16092801,SpectralClustering,0.56,87.11671829223633
16092801,Birch,0.62,17.667293548583984
16092801,AgglomerativeClustering,0.56,0.8032321929931641
16093001,MiniBatchKMeans,0.7580645161290323,373.72899055480957
16093001,KMeans,0.7580645161290323,74.03969764709473
16093001,SpectralClustering,0.6935483870967742,48.79140853881836
16093001,Birch,0.7741935483870968,17.096519470214844
16093001,AgglomerativeClustering,0.7580645161290323,0.8802413940429688
16093201,MiniBatchKMeans,0.8536585365853658,133.37087631225586
16093201,KMeans,0.8780487804878049,77.84032821655273
16093201,SpectralClustering,0.8292682926829268,87.76259422302246
16093201,Birch,0.7804878048780488,11.719465255737305
16093201,AgglomerativeClustering,0.7560975609756098,0.7538795471191406
16093301,MiniBatchKMeans,0.8108108108108107,290.0969982147217
16093301,KMeans,0.8108108108108107,73.70281219482422
16093301,SpectralClustering,0.6756756756756757,83.93597602844238
16093301,Birch,0.6756756756756757,14.21356201171875
16093301,AgglomerativeClustering,0.6216216216216216,0.640869140625
16093501,MiniBatchKMeans,0.7090909090909091,349.8249053955078
16093501,KMeans,0.6545454545454545,80.05332946777344
16093501,SpectralClustering,0.7090909090909091,80.90758323669434
16093501,Birch,0.5272727272727273,14.25790786743164
16093501,AgglomerativeClustering,0.6545454545454545,1.4433860778808594
16093601,MiniBatchKMeans,1.0,290.4536724090576
16093601,KMeans,1.0,72.66879081726074
16093601,SpectralClustering,0.6470588235294117,74.01561737060547
16093601,Birch,0.6470588235294117,13.960599899291992
16093601,AgglomerativeClustering,1.0,0.5021095275878906
16093801,MiniBatchKMeans,0.5633802816901409,292.24228858947754
16093801,KMeans,0.7464788732394366,81.71772956848145
16093801,SpectralClustering,0.7464788732394366,93.89424324035645
16093801,Birch,0.6338028169014085,17.41337776184082
16093801,AgglomerativeClustering,0.6338028169014085,0.9357929229736328
